Flag,Student Number,Assignment Name,Submission File Name,Answer File Name,Version,Volume Mark,Surface Area Mark,Center of Gravity Mark,Moment of Inertia Mark,Subjective Mark,Total Mark
Flagged,400010377,Lab Week 1,400010377_VY.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010490,Lab Week 1,400010490_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010694,Lab Week 1,400010694_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010710,Lab Week 1,400010710_VA.stl,ANSWER_VA.stl,VA,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400010739,Lab Week 1,400010739_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010854,Lab Week 1,400010854_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011037,Lab Week 1,400011037_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400011039,Lab Week 1,400011039_VA.stl,ANSWER_VA.stl,VA,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400011441,Lab Week 1,400011441_VR.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011620,Lab Week 1,400011620_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011654,Lab Week 1,400011654_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011788,Lab Week 1,400011788_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011923,Lab Week 1,400011923_VK.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400012648,Lab Week 1,400012648_VE.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013080,Lab Week 1,400013080_VJ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400013143,Lab Week 1,400013143_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400013457,Lab Week 1,400013457_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013536,Lab Week 1,400013536_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013618,Lab Week 1,400013618_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013655,Lab Week 1,400013655_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013672,Lab Week 1,400013672_VY.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013985,Lab Week 1,400013985_VJ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400014281,Lab Week 1,400014281_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400014505,Lab Week 1,400014505_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
