Flag,Student_Number,Total_Mark
Not Flagged,400022222,0/0
Not Flagged,400055555,20/20
Not Flagged,400010377,0/0
Not Flagged,400010490,0/0
Not Flagged,400010694,0/0
Not Flagged,400010710,1/20
Not Flagged,400010739,0/0
Not Flagged,400010854,0/0
Not Flagged,400011037,0/0
Not Flagged,400011039,20/20
Not Flagged,400011441,0/0
Not Flagged,400011620,0/0
Not Flagged,400011654,0/0
Not Flagged,400011788,0/0
Not Flagged,400011923,0/0
Not Flagged,400012648,0/0
Not Flagged,400013080,0/0
Not Flagged,400013143,20/20
Not Flagged,400013457,0/0
Not Flagged,400013536,0/0
Not Flagged,400013618,0/0
Not Flagged,400013655,0/0
Not Flagged,400013672,0/0
Not Flagged,400013985,0/0
Not Flagged,400014281,0/0
Not Flagged,400014505,20/20
Not Flagged,400014722,0/0
Not Flagged,400015116,0/0
Not Flagged,400015522,0/20
Not Flagged,400015600,0/0
Not Flagged,400015604,0/0
Not Flagged,400016369,0/0
Not Flagged,400016403,0/0
Not Flagged,400016631,0/0
Not Flagged,400016854,0/20
Not Flagged,400016866,0/0
Not Flagged,400017440,20/20
Not Flagged,400017482,0/0
Not Flagged,400017553,0/0
Not Flagged,400017919,0/0
Not Flagged,400018013,0/0
Not Flagged,400018243,0/0
Not Flagged,400018294,0/0
Not Flagged,400019042,0/0
Not Flagged,400019308,0/0
Not Flagged,400019547,0/0
Not Flagged,400020046,0/0
Not Flagged,400020558,20/20
Not Flagged,400020650,0/0
Not Flagged,400021054,0/0
Not Flagged,400021092,0/0
Not Flagged,400021569,0/0
Not Flagged,400021643,0/0
Not Flagged,400021726,1/20
Not Flagged,400021759,1/20
Not Flagged,400021928,0/0
Not Flagged,400022316,0/0
Not Flagged,400022380,0/0
Not Flagged,400022924,0/0
Not Flagged,400022939,0/0
Not Flagged,400022963,0/0
Not Flagged,400023193,0/0
Not Flagged,400023273,0/0
Not Flagged,400023718,15/20
Not Flagged,400023775,0/0
Not Flagged,400023776,0/0
Not Flagged,400024846,20/20
Not Flagged,400025261,1/20
Not Flagged,400025335,0/20
Not Flagged,400025640,0/0
Not Flagged,400025728,1/20
Not Flagged,400025775,0/0
Not Flagged,400025785,0/0
Not Flagged,400026211,1/20
Not Flagged,400026239,0/0
Not Flagged,400026267,0/0
Not Flagged,400026455,0/0
Not Flagged,400027079,0/0
Not Flagged,400027340,0/0
Not Flagged,400027397,0/0
Not Flagged,400027533,0/0
Not Flagged,400027594,20/20
Not Flagged,400027710,0/0
Not Flagged,400027941,0/0
Not Flagged,400028061,0/0
Not Flagged,400028850,0/0
Not Flagged,400028861,0/0
Not Flagged,400029500,0/0
Not Flagged,400029570,0/0
Not Flagged,400030093,20/20
Not Flagged,400030174,0/0
Not Flagged,400030456,0/0
Not Flagged,400030994,0/0
Not Flagged,400031438,0/0
Not Flagged,400031763,0/0
Not Flagged,400031820,0/0
Not Flagged,400031884,0/0
Not Flagged,400032036,0/0
Not Flagged,400032054,0/0
Not Flagged,400032266,0/0
Not Flagged,400032411,0/20
Not Flagged,400032552,0/0
Not Flagged,400032637,0/0
Not Flagged,400032838,0/0
Not Flagged,400032893,0/0
Not Flagged,400033126,0/0
Not Flagged,400033245,0/0
Not Flagged,400033250,0/0
Not Flagged,400033305,0/0
Not Flagged,400033471,0/0
Not Flagged,400033484,0/0
Not Flagged,400034344,0/0
Not Flagged,400034584,0/0
Not Flagged,400034739,0/0
Not Flagged,400034808,0/0
Not Flagged,400034961,0/0
Not Flagged,400035207,0/0
Not Flagged,400035405,0/0
Not Flagged,400035499,0/0
Not Flagged,400035986,0/0
Not Flagged,400036364,0/0
Not Flagged,400036404,0/0
Not Flagged,400036920,0/0
Not Flagged,400037400,0/0
Not Flagged,400037454,0/0
Not Flagged,400037607,0/0
Not Flagged,400037727,0/0
Not Flagged,400039131,0/0
Not Flagged,400039166,0/0
Not Flagged,400039583,0/0
Not Flagged,400039792,0/0
Not Flagged,400039971,0/0
Not Flagged,400040290,0/0
Not Flagged,400040461,0/0
Not Flagged,400040858,0/0
Not Flagged,400041437,0/0
Not Flagged,400041465,0/0
Not Flagged,400041763,0/0
Not Flagged,400042042,0/0
Not Flagged,400042667,0/0
Not Flagged,400042842,1/20
Not Flagged,400010802,0/0
Not Flagged,400042973,1/20
Not Flagged,400043270,0/0
Not Flagged,400043455,0/0
Not Flagged,400043715,0/0
Not Flagged,400043740,0/0
Not Flagged,400044017,0/0
Not Flagged,400044118,0/0
Not Flagged,400044820,0/0
Not Flagged,400044846,0/0
Not Flagged,400045091,0/0
Not Flagged,400045314,0/0
Not Flagged,400045359,0/0
Not Flagged,400046090,0/0
Not Flagged,400046161,0/0
Not Flagged,400047160,0/0
Not Flagged,400047417,0/0
Not Flagged,400047441,0/0
Not Flagged,400047541,0/0
Not Flagged,400047548,0/0
Not Flagged,400047613,0/0
Not Flagged,400047921,0/0
Not Flagged,400048052,0/0
Not Flagged,400048610,0/0
Not Flagged,400048685,0/0
Not Flagged,400048725,0/0
Not Flagged,400048737,0/0
Not Flagged,400049204,0/0
Not Flagged,400049226,0/0
Not Flagged,400049740,0/0
Not Flagged,400049922,0/0
Not Flagged,400050163,0/20
Not Flagged,400050322,0/0
Not Flagged,400050456,0/0
Not Flagged,400050893,0/0
Not Flagged,400051072,0/0
Not Flagged,400051996,1/20
Not Flagged,400052411,0/0
Not Flagged,400052481,0/0
Not Flagged,400052651,0/0
Not Flagged,400052861,0/0
Not Flagged,400053088,0/0
Not Flagged,400053664,0/0
Not Flagged,400053809,0/0
Not Flagged,400053947,0/0
Not Flagged,400054105,0/0
Not Flagged,400054161,0/0
Not Flagged,400054303,0/0
Not Flagged,400054318,0/0
Not Flagged,400054776,0/0
Not Flagged,400054966,0/20
Not Flagged,400055004,0/0
Not Flagged,400055432,0/0
Not Flagged,400055490,0/0
Not Flagged,400055667,0/0
Not Flagged,400055963,0/0
Not Flagged,400056148,0/0
